country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
IND,India,KALLUR GRINDING,WRI1019919,30,17.3821,77.4389,Coal,,,,,Chettinad Corp ltd,Chettinad Corp ltd,http://www.chettinad.com/,WRI,,,178.777,,,,,,,,
IND,India,KAMAL SPONGE,WRI1020002,12,24.6266,80.831,Coal,,,,,Kjs Ahluwalia group,Kjs Ahluwalia group,http://www.kjsahluwaliagroup.com/,WRI,,,283.238,,,,,,,,
IND,India,KAMALANGA,IND0000178,1050,20.87,85.2671,Coal,Oil,,,2013,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,285.358,4436.7,5747,5476.7,5174.09,6233.686,,Central Electricity Authority,
IND,India,KANHER,IND0000179,4,17.7384,73.917,Hydro,,,,1991,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,,,,,,,
IND,India,KARAD MILL,WRI1019959,16,17.1657,74.2459,Biomass,,,,,Ym Ssk ltd,Ym Ssk ltd,http://www.kcpsugar.com/index.html,WRI,,,,,,,,,,,
IND,India,KARAIKAL,IND0000180,32.5,10.9325,79.8216,Gas,,,,2000,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,116.824,95.0355786,212.9191786,231.32471,212.3774439,214.17,,Central Electricity Authority,
IND,India,KARBI LANGPI,IND0000181,100,25.9552,92.5171,Hydro,,,,2007,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,400.41785,406.8356,394.60705,482.5551,370.8564,,Central Electricity Authority,
IND,India,KARCHAM WANGTOO,IND0000182,1000,31.5156,78.1073,Hydro,,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0.093,4219.22785,4702.6884,4350.42855,4547.08035,3948.84655,,Central Electricity Authority,
IND,India,KARGIL,IND0000183,3.75,34.5605,76.1299,Hydro,,,,1995,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,52.075,,,,,,,,
IND,India,KARUPPUR GT,IND0000184,119.8,11.1208,79.5287,Gas,,,,2005,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,560.352,620.207,480.967,469.44,633.42,,Central Electricity Authority,
IND,India,KASAIPALLI,IND0000185,270,22.389,82.5549,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,1564.163,1683.597,1786.33,1712.912,1689.378,,Central Electricity Authority,
IND,India,KASARGODE DG,IND0000186,21.84,12.4837,74.9929,Oil,,,,1998,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,0,,,,,,,,
IND,India,KASHANG INTEGRATED,IND0000517,195,,,Hydro,,,,2016,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,37.657,,,55.80955,196.14435,117.6488,,Central Electricity Authority,
IND,India,KASHIPUR CCPP,IND0000518,225,,,Gas,,,,2016,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,,462.2826,1312.4,815.9841306,,Central Electricity Authority,
IND,India,KASRAWAD FACTORY,WRI1020003,10,22.1335,75.4568,Coal,,,,,Maral Overseas ltd,Maral Overseas ltd,http://maraloverseas.com/,WRI,,,,,,,,,,,
IND,India,KATGHORA TPP,IND0000187,35,,,Coal,Oil,,,2012,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,0,0,0,0,0,,Central Electricity Authority,
IND,India,KATHALGURI GT,IND0000188,291,27.341,95.408,Gas,,,,1996,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,51.93865,1695.81264,1713.14992,1531.1131,1557.9901,1596.42324,,Central Electricity Authority,
IND,India,KAWAI TPP,IND0000189,1320,24.7773,76.737,Coal,Oil,,,2013,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,49.23266,7399,8227,7856,4788,7179,,Central Electricity Authority,
IND,India,KAWAS GT,IND0000190,645,21.175,72.6879,Gas,,,,1992,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,1694,1174,1673,2340,2428,,Central Electricity Authority,
IND,India,KAYAM KULAM GT,IND0000191,350,9.2404,76.4283,Gas,,,,1998,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,6.093,792,131,14.10769231,0,0,,Central Electricity Authority,
IND,India,KCSF SANGUR,WRI1019920,18,14.7753,75.3131,Biomass,,,,,Gm Energy ltd,Gm Energy ltd,http://www.gmsugars.com/,WRI,,,,,,,,,,,
IND,India,KHADAVASLA I&II,IND0000192,16,18.3803,73.6116,Hydro,,,,1991,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,,,,,,,,
IND,India,KHAMBERKHERA IPP,IND0000193,90,28.017,80.8307,Coal,Oil,,,2011,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,474.37,289.245,340.2,163.611,126.5895,,Central Electricity Authority,
IND,India,KHANDONG,IND0000194,50,25.5177,92.6679,Hydro,,,,1984,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,87.4207,174.17475,196.1145,259.46615,202.8009,,Central Electricity Authority,
IND,India,KHARA,IND0000195,72,30.3508,77.6017,Hydro,,,,1992,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,362.1004,319.4547,267.58535,257.8443,284.7093,,Central Electricity Authority,
IND,India,KHATIMA,IND0000196,41.4,28.9232,80.0243,Hydro,,,,1955,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,44.9541,119.84775,179.2393,211.537,231.08875,,Central Electricity Authority,
IND,India,KHODRI,IND0000197,120,30.5085,77.8001,Hydro,,,,1984,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,404.95505,374.0603,331.62355,353.97125,367.8316,,Central Electricity Authority,
IND,India,KHOPOLI,IND0000198,72,18.7817,73.3558,Hydro,,,,2002,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,302.23125,259.92385,305.7038,314.7981,340.77755,,Central Electricity Authority,
IND,India,KHOPOLI WORKS,WRI1019960,60,18.7712,73.259,Coal,,,,,Uttam Steels ltd,Uttam Steels ltd,http://www.uttamgalva.com/,WRI,,,1.585,,,,,,,,
IND,India,KISHENGANGA,IND0000530,330,34.649,74.7514,Hydro,,,,2018,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,24.442,,,,1.6716,526.60375,,Central Electricity Authority,
IND,India,KM DODDI SUGAR,WRI1019921,26,12.4806,77.0411,Biomass,,,,,Sri Sugars ltd,Sri Sugars ltd,http://www.chamundeswarisugars.in/,WRI,,,,,,,,,,,
IND,India,KODASALI,IND0000199,120,14.955,74.5904,Hydro,,,,1998,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,383.8312,202.2437,153.3892,170.0853,343.8322,,Central Electricity Authority,
IND,India,KODAYAR-I&II,IND0000200,100,8.5319,77.3125,Hydro,,,,1970,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,53.774,201.0099,277.1871,168.58285,123.3601,193.1096,,Central Electricity Authority,
IND,India,KODERMA,IND0000201,1000,24.3858,85.5517,Coal,Oil,,,2012,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,48.962,1721.426,3264,3609.528,5633.48,5975.5914,,Central Electricity Authority,
IND,India,KOJIKODE DG,IND0000202,96,11.2054,75.8067,Oil,,,,1999,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,26.324,194.11479,133.4064,36.34044,0.74653,2.9836,,Central Electricity Authority,
IND,India,KOLAGHAT,IND0000203,1260,22.4157,87.8713,Coal,Oil,,,1989,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,22.402,6449.761,5124.74137,5382.524,4208.389,3926.272,,Central Electricity Authority,
IND,India,KOLDAM,IND0000204,800,31.382,76.8761,Hydro,,,,2015,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,34.945,0.25,2297.057,3209.0342,3297.0519,2998.86035,,Central Electricity Authority,
IND,India,KOLHAPUR HEMARUS,WRI1019961,20,16.0327,74.4583,Biomass,,,,,Hemarus Technologies ltd,Hemarus Technologies ltd,http://www.hemarus.co.in/facilities.html,WRI,,,,,,,,,,,
IND,India,KOLHAPUR KAGAL,WRI1019962,20,16.589,74.2993,Biomass,,,,,Shri Vedganga ssk,Shri Vedganga ssk,http://www.tradeindia.com/Seller-6835496-Shri-Dudhganga-Vedganga-SSK-Ltd-/,WRI,,,13.508,,,,,,,,
IND,India,KOLHAPUR KUMBHI,WRI1019963,17.5,16.689,74.1201,Biomass,,,,,Kumbhi Ssk ltd,Kumbhi Ssk ltd,http://www.kumbhisugar.com/,WRI,,,21.84,,,,,,,,
IND,India,KOLLEGAL SUGAR,WRI1019922,16,12.1056,76.7606,Biomass,,,,,Bannari Sugars ltd,Bannari Sugars ltd,http://www.bannari.com/sugar.html,WRI,,,7.616,,,,,,,,
IND,India,KONASEEMA CCCP,IND0000205,445,16.7346,81.8622,Gas,,,,2009,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,28.821,0,0,0,,0,,Central Electricity Authority,
IND,India,KONDAPALLI GT,IND0000206,1458,16.64,80.5504,Gas,,,,2009,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,85.771,559.01,2024.61,2211.188,644.4,1629.816,,Central Electricity Authority,
IND,India,KOPILI,IND0000207,200,25.5177,92.6679,Hydro,,,,1993,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,626.3127,777.891,1082.82865,1166.96585,1112.2309,,Central Electricity Authority,
IND,India,KOPPA SUGAR,WRI1019923,26,12.702,76.9787,Biomass,,,,,Nsl Sugars ltd,Nsl Sugars ltd,http://www.nslsugars.com/,WRI,,,18.098,,,,,,,,
IND,India,KOPPAL HKMP,WRI1019924,12,15.316,76.2507,Coal,,,,,Hare Pvt ltd,Hare Pvt ltd,http://www.tradeindia.com/Seller-2020295-HARE-KRISHNA-METALLICS-PVT-LTD-/,WRI,,,6.578,,,,,,,,
IND,India,KORADI,IND0000208,2400,21.2414,79.096,Coal,Oil,,,2009,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,2022.57,2725.69064,4875.81,8670.845796,7681.86,,Central Electricity Authority,
IND,India,KORBA STPS,IND0000209,2600,22.3881,82.6858,Coal,Oil,,,1991,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,,18807,19176,19078,19229,18784,,Central Electricity Authority,
IND,India,KORBA-EAST,IND0000210,890,22.3828,82.7188,Coal,Oil,,,1991,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,33.85106,5373.7458,5645.389,5670.247,5274.6625,4871.167,,Central Electricity Authority,
IND,India,KORBA-WEST,IND0000211,1340,22.4118,82.6888,Coal,Oil,,,1995,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,35.83859,9013.4173,8691.857,8655.446996,8773.357529,8971.64935,,Central Electricity Authority,
IND,India,KOSI,IND0000212,20,26.497,86.9549,Hydro,,,,1973,,Central Electricity Authority,http://www.cea.nic.in/,WRI,,2019,37.3935,,,,,,,,
