country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh
AUS,Australia,Kings Canyon,AUS0000421,0.24,-24.2509,131.5006,Solar,,,,,Power and Water Corporation,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,1.722777778,1.205,0.873888889,1.12,,Australia Clean Energy Regulator,
AUS,Australia,Kogan Creek,AUS0000162,744,-26.9177,150.7493,Coal,,,,2018,CS Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,5696.316111,5292.296111,5731.49,4478.062778,5924.063889,5254.593056,,Australia Clean Energy Regulator,
AUS,Australia,Kogarah Town Square Solar Array,AUS0000441,0.16,-33.9652,151.1332,Solar,,,,,Kogarah Council,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Koombooloomba,AUS0000055,7.3,-17.8313,145.6034,Hydro,,,,1996,Stanwell Corporation Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kooragang,AUS0000404,0.6,-32.8773,151.7478,Wind,,,,2016,Ausgrid,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,1.748888889,1.786388889,1.621388889,1.908333333,1.819722222,1.923055556,,Australia Clean Energy Regulator,
AUS,Australia,Kununurra,AUS0000370,12.4,-15.7796,128.7395,Oil,,,,1994,Horizon Power,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,0.247777778,0.093611111,,Australia Clean Energy Regulator,
AUS,Australia,Kwinana,AUS0000194,21,-32.197,115.7759,Gas,,,,1959,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kwinana (Alcoa Refinery),AUS0000190,74.5,-32.1946,115.7797,Gas,,,,1993,Alcoa of Australia Ltd,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
AUS,Australia,Kwinana Cogeneration,AUS0000193,123,-32.2225,115.7661,Gas,,,,1961,International Power Plc & Mitsui & Co Ltd & Transfield,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,811.845,884.2316667,892.2663889,878.0797222,854.565,859.2527778,,Australia Clean Energy Regulator,
AUS,Australia,Kwinana High Efficiency Gas Turbine Plant,AUS0000195,200,-32.1973,115.7754,Gas,,,,1957,Verve Energy,Australian Renewable Energy Mapping Infrastructure,https://www.nationalmap.gov.au/,Australian Renewable Energy Mapping Infrastructure,,2019,,,,,,,,,
